EPISODE,TITLE,grupos_jerar,grupos_kmeans,grupos_dbscan
S01E01,"""A WALK IN THE WOODS""",1,4,0
S01E02,"""MT. MCKINLEY""",4,1,1
S01E03,"""EBONY SUNSET""",4,1,-1
S01E04,"""WINTER MIST""",0,0,0
S01E05,"""QUIET STREAM""",1,2,0
S01E06,"""WINTER MOON""",4,1,-1
S01E07,"""AUTUMN MOUNTAINS""",5,0,0
S01E08,"""PEACEFUL VALLEY""",0,0,0
S01E09,"""SEASCAPE""",2,3,-1
S01E10,"""MOUNTAIN LAKE""",0,0,0
S01E11,"""WINTER GLOW""",5,2,0
S01E12,"""SNOWFALL""",0,0,0
S01E13,"""FINAL REFLECTIONS""",0,0,0
S02E01,"""MEADOW LAKE""",0,0,0
S02E02,"""WINTER SUN""",3,1,0
S02E03,"""EBONY SEA""",2,3,-1
S02E04,"""SHADES OF GREY""",4,0,-1
S02E05,"""AUTUMN SPLENDOR""",5,4,0
S02E06,"""BLACK RIVER""",1,4,0
S02E07,"""BROWN MOUNTAIN""",0,0,0
S02E08,"""REFLECTIONS""",0,0,0
S02E09,"""BLACK & WHITE SEASCAPE""",2,3,-1
S02E10,"""LAZY RIVER""",1,2,0
S02E11,"""BLACK WATERFALL""",1,5,0
S02E12,"""MOUNTAIN WATERFALL""",5,0,0
S02E13,"""FINAL GRACE""",0,0,0
S03E01,"""MOUNTAIN RETREAT""",4,0,0
S03E02,"""BLUE MOON""",2,3,-1
S03E03,"""BUBBLING STREAM""",1,2,0
S03E04,"""WINTER NIGHT""",3,1,0
S03E05,"""DISTANT HILLS""",0,0,-1
S03E06,"""COVERED BRIDGE""",5,2,0
S03E07,"""QUIET INLET""",5,0,0
S03E08,"""NIGHT LIGHT""",2,3,-1
S03E09,"""THE OLD MILL""",1,4,-1
S03E10,"""CAMPFIRE""",5,4,0
S03E11,"""RUSTIC BARN""",5,2,0
S03E12,"""HIDDEN LAKE""",0,0,0
S03E13,"""PEACEFUL WATERS""",0,0,0
